comname,sciname,ico_gl,ico_rgn_id,iucn_sid,subpop,cat_2016,cat,cat_txt,cat_score,year,cat_2016_score
Bottle-nosed dolphin,Tursiops truncatus,FALSE,4,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2008.0,0.4
Bottlenosed dolphin,Tursiops truncatus,FALSE,8,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2009.0,0.4
Bottlenosed dolphin,Tursiops truncatus,FALSE,9,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2009.0,0.4
Bottle-nosed dolphin,Tursiops truncatus,FALSE,4,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2009.0,0.4
Bottlenosed dolphin,Tursiops truncatus,FALSE,8,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2010.0,0.4
Bottlenosed dolphin,Tursiops truncatus,FALSE,9,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2010.0,0.4
Bottle-nosed dolphin,Tursiops truncatus,FALSE,4,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2010.0,0.4
Bottlenosed dolphin,Tursiops truncatus,FALSE,8,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2011.0,0.4
Bottlenosed dolphin,Tursiops truncatus,FALSE,9,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2011.0,0.4
Bottle-nosed dolphin,Tursiops truncatus,FALSE,4,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2011.0,0.4
Bottlenosed dolphin,Tursiops truncatus,FALSE,8,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2012.0,0.4
Bottlenosed dolphin,Tursiops truncatus,FALSE,9,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2012.0,0.4
Bottle-nosed dolphin,Tursiops truncatus,FALSE,4,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2012.0,0.4
Bottlenosed dolphin,Tursiops truncatus,FALSE,8,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2013.0,0.4
Bottlenosed dolphin,Tursiops truncatus,FALSE,9,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2013.0,0.4
Bottle-nosed dolphin,Tursiops truncatus,FALSE,4,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2013.0,0.4
Bottlenosed dolphin,Tursiops truncatus,FALSE,8,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2014.0,0.4
Bottlenosed dolphin,Tursiops truncatus,FALSE,9,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2014.0,0.4
Bottle-nosed dolphin,Tursiops truncatus,FALSE,4,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2014.0,0.4
Bottlenosed dolphin,Tursiops truncatus,FALSE,8,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2015.0,0.4
Bottlenosed dolphin,Tursiops truncatus,FALSE,9,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2015.0,0.4
Bottle-nosed dolphin,Tursiops truncatus,FALSE,4,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2015.0,0.4
Bottlenosed dolphin,Tursiops truncatus,FALSE,8,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2016.0,0.4
Bottlenosed dolphin,Tursiops truncatus,FALSE,9,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2016.0,0.4
Bottle-nosed dolphin,Tursiops truncatus,FALSE,4,16369383,Mediterranean subpopulation,VU,VU,Vulnerable,0.4,2016.0,0.4
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1965.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1965.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1965.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1966.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1966.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1966.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1967.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1967.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1967.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1968.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1968.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1968.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1969.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1969.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1969.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1970.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1970.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1970.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1971.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1971.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1971.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1972.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1972.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1972.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1973.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1973.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1973.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1974.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1974.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1974.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1975.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1975.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1975.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1976.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1976.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1976.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1977.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1977.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1977.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1978.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1978.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1978.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1979.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1979.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1979.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1980.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1980.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1980.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1981.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1981.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1981.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1982.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1982.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1982.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1983.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1983.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1983.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1984.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1984.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1984.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1985.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1985.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1985.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1986.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1986.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1986.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1987.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1987.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1987.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1988.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1988.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1988.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1989.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1989.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1989.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1990.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1990.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1990.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1991.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1991.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1991.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1992.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1992.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1992.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1993.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1993.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1993.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1994.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1994.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1994.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1995.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1995.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1995.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1996.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1996.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1996.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1997.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1997.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1997.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1998.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1998.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1998.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1999.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1999.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,1999.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,2e3,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,2e3,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,2e3,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,2001.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,2001.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,2001.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,2002.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,2002.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,2002.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Lower Risk/least concern,0.0,2003.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Lower Risk/least concern,0.0,2003.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Lower Risk/least concern,0.0,2003.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Least Concern,0.0,2004.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Least Concern,0.0,2004.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Least Concern,0.0,2004.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Least Concern,0.0,2005.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Least Concern,0.0,2005.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Least Concern,0.0,2005.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Least Concern,0.0,2006.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Least Concern,0.0,2006.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Least Concern,0.0,2006.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Least Concern,0.0,2007.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Least Concern,0.0,2007.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Least Concern,0.0,2007.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Least Concern,0.0,2008.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Least Concern,0.0,2008.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Least Concern,0.0,2008.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Least Concern,0.0,2009.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Least Concern,0.0,2009.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Least Concern,0.0,2009.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Least Concern,0.0,2010.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Least Concern,0.0,2010.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Least Concern,0.0,2010.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Least Concern,0.0,2011.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Least Concern,0.0,2011.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Least Concern,0.0,2011.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Least Concern,0.0,2012.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Least Concern,0.0,2012.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Least Concern,0.0,2012.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Least Concern,0.0,2013.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Least Concern,0.0,2013.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Least Concern,0.0,2013.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Least Concern,0.0,2014.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Least Concern,0.0,2014.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Least Concern,0.0,2014.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Least Concern,0.0,2015.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Least Concern,0.0,2015.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Least Concern,0.0,2015.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC,LC,Least Concern,0.0,2016.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC,LC,Least Concern,0.0,2016.0,0.0
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC,LC,Least Concern,0.0,2016.0,0.0
Eider,Somateria mollissima,FALSE,5,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1965.0,0.2
Eider,Somateria mollissima,FALSE,8,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1965.0,0.2
Eider,Somateria mollissima,FALSE,9,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1965.0,0.2
Eider,Somateria mollissima,FALSE,5,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1966.0,0.2
Eider,Somateria mollissima,FALSE,8,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1966.0,0.2
Eider,Somateria mollissima,FALSE,9,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1966.0,0.2
Eider,Somateria mollissima,FALSE,5,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1967.0,0.2
Eider,Somateria mollissima,FALSE,8,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1967.0,0.2
Eider,Somateria mollissima,FALSE,9,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1967.0,0.2
Eider,Somateria mollissima,FALSE,5,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1968.0,0.2
Eider,Somateria mollissima,FALSE,8,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1968.0,0.2
Eider,Somateria mollissima,FALSE,9,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1968.0,0.2
Eider,Somateria mollissima,FALSE,5,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1969.0,0.2
Eider,Somateria mollissima,FALSE,8,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1969.0,0.2
Eider,Somateria mollissima,FALSE,9,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1969.0,0.2
Eider,Somateria mollissima,FALSE,5,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1970.0,0.2
Eider,Somateria mollissima,FALSE,8,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1970.0,0.2
Eider,Somateria mollissima,FALSE,9,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1970.0,0.2
Eider,Somateria mollissima,FALSE,5,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1971.0,0.2
Eider,Somateria mollissima,FALSE,8,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1971.0,0.2
Eider,Somateria mollissima,FALSE,9,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1971.0,0.2
Eider,Somateria mollissima,FALSE,5,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1972.0,0.2
Eider,Somateria mollissima,FALSE,8,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1972.0,0.2
Eider,Somateria mollissima,FALSE,9,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1972.0,0.2
Eider,Somateria mollissima,FALSE,5,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1973.0,0.2
Eider,Somateria mollissima,FALSE,8,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1973.0,0.2
Eider,Somateria mollissima,FALSE,9,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1973.0,0.2
Eider,Somateria mollissima,FALSE,5,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1974.0,0.2
Eider,Somateria mollissima,FALSE,8,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1974.0,0.2
Eider,Somateria mollissima,FALSE,9,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1974.0,0.2
Eider,Somateria mollissima,FALSE,5,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1975.0,0.2
Eider,Somateria mollissima,FALSE,8,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1975.0,0.2
Eider,Somateria mollissima,FALSE,9,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1975.0,0.2
Eider,Somateria mollissima,FALSE,5,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1976.0,0.2
Eider,Somateria mollissima,FALSE,8,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1976.0,0.2
Eider,Somateria mollissima,FALSE,9,22680405,NA,NT,LC,Lower Risk/least concern,0.0,1976.0,0.2
